,player,pos,age,team_id,g,gs,mp,fg_per_mp,fga_per_mp,fg_pct,fg3_per_mp,fg3a_per_mp,fg3_pct,fg2_per_mp,fg2a_per_mp,fg2_pct,ft_per_mp,fta_per_mp,ft_pct,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp
29,Keita Bates-Diop,PF-SF,24,TOT,44,0,744,4.8,11.3,.427,1.6,5.0,.330,3.2,6.3,.504,2.6,3.6,.720,1.2,4.9,6.1,1.5,0.9,1.2,0.8,2.1,13.9
30,Nicolas Batum,SF,31,CHO,22,3,505,2.0,5.8,.346,1.0,3.5,.286,1.0,2.3,.438,0.6,0.7,.900,1.8,5.3,7.1,4.7,1.2,0.6,1.6,2.9,5.6
31,Aron Baynes,C,33,PHO,42,28,934,7.1,14.7,.480,2.3,6.5,.351,4.8,8.2,.582,2.2,2.9,.747,2.7,6.4,9.1,2.6,0.4,0.9,1.9,5.4,18.5
32,Kent Bazemore,SF,30,TOT,68,21,1688,4.3,11.4,.375,1.8,5.2,.344,2.5,6.2,.400,2.4,3.1,.769,0.6,5.7,6.3,2.0,1.6,0.9,1.9,4.2,12.7
33,Darius Bazley,PF,19,OKC,61,9,1130,4.0,10.1,.394,1.6,4.5,.348,2.4,5.6,.432,1.4,2.0,.694,1.0,6.9,7.8,1.3,0.7,1.3,1.4,1.8,10.9
34,Bradley Beal,SG,26,WAS,57,57,2053,10.4,22.8,.455,3.0,8.4,.353,7.4,14.4,.515,6.8,8.0,.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5
35,Malik Beasley,SG,23,TOT,55,14,1209,6.8,15.9,.425,3.2,8.2,.388,3.6,7.7,.465,1.6,2.0,.818,0.5,3.9,4.4,2.2,1.2,0.2,1.7,2.3,18.3
36,Marco Belinelli,SG,33,SAS,57,0,883,5.0,12.8,.392,2.7,7.3,.376,2.3,5.5,.412,2.0,2.4,.828,0.3,3.8,4.0,2.8,0.5,0.0,0.8,1.8,14.7
37,Jordan Bell,C,25,TOT,29,0,256,4.9,9.4,.522,0.6,1.7,.333,4.4,7.7,.564,2.7,4.4,.613,4.2,7.2,11.4,2.3,0.4,1.4,3.0,2.7,13.1
38,DeAndre' Bembry,SG,25,ATL,43,4,915,4.1,9.0,.456,0.6,2.6,.231,3.5,6.4,.546,1.0,1.9,.542,1.3,4.6,6.0,3.2,2.2,0.7,2.4,3.3,9.8
39,Dragan Bender,PF-C,22,TOT,16,3,286,5.2,11.6,.446,1.9,5.4,.349,3.3,6.2,.531,1.3,1.8,.714,2.0,7.2,9.2,3.5,0.5,1.1,2.6,5.3,13.5
40,Dāvis Bertāns,PF,27,WAS,54,4,1583,6.0,13.9,.434,4.5,10.7,.424,1.5,3.1,.471,2.4,2.8,.852,0.8,4.8,5.6,2.1,0.8,0.8,1.3,3.2,19.0
41,Patrick Beverley,PG,31,LAC,51,50,1342,3.9,9.1,.431,2.1,5.5,.388,1.8,3.6,.496,0.8,1.3,.660,1.5,5.6,7.1,4.9,1.4,0.7,1.8,4.2,10.9
42,Khem Birch,C,27,ORL,48,24,922,2.9,5.6,.510,0.0,0.0,.000,2.9,5.5,.514,2.6,3.9,.653,3.6,5.0,8.6,2.0,0.8,0.9,1.2,3.6,8.3
43,Goga Bitadze,C,20,IND,54,2,471,5.4,11.5,.467,0.6,3.2,.190,4.7,8.3,.574,1.8,2.5,.727,1.9,6.2,8.1,1.8,0.8,2.8,2.1,5.0,13.1
44,Bismack Biyombo,C,27,CHO,53,29,1029,5.3,9.7,.543,0.0,0.0,,5.3,9.7,.543,3.2,5.3,.603,4.2,6.6,10.8,1.7,0.3,1.7,1.7,4.1,13.7
45,Nemanja Bjelica,PF,31,SAC,72,67,2011,5.6,11.7,.481,2.4,5.7,.419,3.2,6.0,.541,1.2,1.5,.821,2.0,6.2,8.2,3.6,1.1,0.7,1.8,3.9,14.9
46,Eric Bledsoe,PG,30,MIL,61,61,1646,7.3,15.4,.475,1.6,4.7,.344,5.7,10.7,.533,3.7,4.7,.790,0.9,5.2,6.2,7.2,1.2,0.6,3.2,2.8,19.9
47,Bogdan Bogdanović,SG,27,SAC,61,28,1766,6.9,15.6,.440,3.3,9.0,.372,3.5,6.6,.532,1.8,2.4,.741,0.5,3.7,4.2,4.2,1.3,0.3,2.1,2.7,18.8
48,Bojan Bogdanović,SF,30,UTA,63,63,2083,7.2,16.2,.447,3.3,7.9,.414,4.0,8.3,.479,4.3,4.8,.903,0.7,3.8,4.5,2.3,0.6,0.1,2.7,1.9,22.0
49,Bol Bol,PF,20,DEN,7,0,87,5.8,11.6,.500,1.7,3.7,.444,4.1,7.9,.526,3.3,4.1,.800,2.1,5.8,7.9,2.5,0.8,2.5,4.1,4.6,16.6
50,Jonah Bolden,C,24,TOT,7,0,47,3.1,8.4,.364,0.0,3.1,.000,3.1,5.4,.571,1.5,3.1,.500,2.3,4.6,6.9,0.0,2.3,1.5,1.5,7.7,7.7
51,Marques Bolden,C,21,CLE,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,24.0,24.0,0.0,12.0,0.0,0.0,12.0,0.0
52,Jordan Bone,PG,22,DET,10,0,53,3.4,13.6,.250,1.4,6.8,.200,2.0,6.8,.300,0.0,0.0,,0.0,2.7,2.7,5.4,0.7,0.0,1.4,4.1,8.2
53,Isaac Bonga,SF,20,WAS,66,49,1250,3.4,6.7,.504,0.7,2.0,.352,2.7,4.7,.571,2.0,2.4,.812,2.0,4.3,6.4,2.2,1.3,0.6,1.7,4.5,9.5
54,Devin Booker,SG,23,PHO,70,70,2512,9.0,18.4,.489,2.0,5.7,.354,7.0,12.7,.549,6.7,7.3,.919,0.4,3.8,4.3,6.5,0.7,0.3,3.8,3.1,26.7
55,Chris Boucher,C,27,TOR,62,0,819,6.2,13.1,.472,1.7,5.2,.322,4.5,8.0,.569,4.0,5.1,.784,4.7,7.5,12.2,1.1,1.0,2.7,1.2,5.0,18.1
56,Brian Bowen,SF,21,IND,6,1,31,3.5,11.6,.300,0.0,2.3,.000,3.5,9.3,.375,0.0,0.0,,1.2,7.0,8.1,0.0,0.0,1.2,1.2,3.5,7.0
57,Ky Bowman,PG,22,GSW,45,12,1015,4.8,11.4,.417,1.2,3.8,.308,3.6,7.6,.472,1.2,1.5,.829,0.9,3.4,4.3,4.6,1.6,0.4,2.5,3.6,11.9
58,Avery Bradley,SG,29,LAL,49,44,1186,5.2,11.6,.444,1.9,5.3,.364,3.2,6.4,.510,0.6,0.7,.833,0.5,2.9,3.5,1.9,1.3,0.2,1.4,3.3,12.8
59,Tony Bradley,C,22,UTA,58,3,663,6.8,10.3,.667,0.2,0.2,1.000,6.7,10.1,.661,1.6,2.5,.652,6.0,8.5,14.5,1.2,0.8,1.8,1.6,6.2,15.5
60,Jarrell Brantley,PF,23,UTA,9,0,96,3.7,10.5,.357,1.1,4.9,.231,2.6,5.6,.467,0.4,0.7,.500,0.7,6.8,7.5,4.1,1.1,1.9,2.6,2.6,9.0
61,Ignas Brazdeikis,SF,21,NYK,9,0,53,4.1,14.9,.273,0.7,6.1,.111,3.4,8.8,.385,2.7,3.4,.800,1.4,2.0,3.4,2.7,0.0,0.7,1.4,2.0,11.5
62,Corey Brewer,PF,33,SAC,5,0,33,2.2,4.4,.500,0.0,1.1,.000,2.2,3.3,.667,1.1,3.3,.333,2.2,6.5,8.7,2.2,4.4,0.0,2.2,7.6,5.5
63,Mikal Bridges,SF,23,PHO,73,32,2042,4.4,8.5,.510,1.2,3.4,.361,3.1,5.1,.610,1.8,2.2,.844,1.2,4.0,5.1,2.3,1.8,0.8,1.3,2.9,11.8
64,Miles Bridges,SF,21,CHO,65,64,1995,5.8,13.6,.424,1.8,5.4,.330,4.0,8.2,.486,1.9,2.4,.809,1.6,4.9,6.5,2.1,0.7,0.9,1.7,2.4,15.2
65,Oshae Brissett,SF,21,TOR,19,0,135,3.5,9.6,.361,0.8,4.0,.200,2.7,5.6,.476,2.1,2.7,.800,2.4,4.5,6.9,1.9,1.1,0.3,1.9,4.8,9.9
66,Ryan Broekhoff,SF,29,DAL,17,1,180,4.4,11.8,.373,4.0,10.2,.392,0.4,1.6,.250,1.4,1.6,.875,1.0,7.6,8.6,2.2,1.0,0.8,1.2,3.0,14.2
67,Malcolm Brogdon,PG,27,IND,54,54,1666,7.0,16.1,.438,1.6,5.0,.326,5.4,11.1,.488,3.6,4.0,.892,1.0,4.7,5.7,8.2,0.8,0.2,2.8,2.1,19.3
68,Dillon Brooks,SG,24,MEM,73,73,2112,7.4,18.2,.407,2.5,7.0,.358,4.9,11.2,.438,2.8,3.5,.808,1.2,3.0,4.1,2.6,1.1,0.5,2.1,4.7,20.1
69,Bruce Brown,PG,23,DET,58,43,1634,4.4,9.8,.443,0.7,2.1,.344,3.6,7.7,.470,1.9,2.6,.739,1.3,4.7,6.0,5.1,1.4,0.6,2.2,3.6,11.4
70,Charlie Brown,SG,22,ATL,10,0,40,5.4,17.1,.316,2.7,8.1,.333,2.7,9.0,.300,4.5,4.5,1.000,1.8,1.8,3.6,1.8,1.8,1.8,2.7,2.7,18.0
71,Jaylen Brown,SG,23,BOS,57,57,1934,7.9,16.5,.481,2.4,6.3,.382,5.5,10.2,.543,3.3,4.5,.724,1.2,5.6,6.8,2.2,1.2,0.4,2.3,3.1,21.6
72,Moses Brown,C,20,POR,9,0,33,4.4,10.9,.400,0.0,0.0,,4.4,10.9,.400,3.3,8.7,.375,3.3,12.0,15.3,1.1,1.1,1.1,3.3,7.6,12.0
73,Sterling Brown,SF,24,MIL,52,1,767,4.5,12.0,.371,2.1,6.4,.324,2.4,5.6,.425,1.5,1.9,.800,1.5,7.1,8.6,2.4,1.4,0.3,2.0,2.5,12.5
74,Troy Brown Jr.,SF,20,WAS,69,22,1782,5.5,12.6,.439,1.2,3.6,.341,4.3,8.9,.479,2.2,2.8,.784,1.5,6.2,7.7,3.6,1.7,0.1,1.6,2.7,14.5
75,Jalen Brunson,PG,23,DAL,57,16,1022,6.4,13.7,.466,1.5,4.2,.358,4.9,9.4,.515,2.1,2.6,.813,0.8,3.9,4.7,6.6,0.8,0.1,2.3,2.6,16.4
76,Thomas Bryant,C,22,WAS,46,36,1147,7.6,13.1,.581,1.2,2.9,.407,6.5,10.3,.630,2.7,3.6,.741,3.1,7.3,10.4,2.6,0.8,1.5,1.7,3.2,19.1
77,Reggie Bullock,SG,28,NYK,29,19,684,4.7,11.8,.402,1.9,5.8,.333,2.8,5.9,.469,0.9,1.1,.810,0.7,2.9,3.6,2.2,1.3,0.2,1.0,2.9,12.3
78,Trey Burke,PG,27,TOT,33,1,520,6.5,14.5,.450,2.2,5.2,.427,4.3,9.3,.463,1.6,2.0,.793,1.1,2.4,3.5,5.7,1.1,0.1,1.5,2.3,16.8
79,Alec Burks,SF-SG,28,TOT,66,19,1754,6.6,15.8,.418,2.4,6.2,.385,4.2,9.6,.439,4.8,5.4,.887,1.0,4.8,5.8,3.9,1.3,0.3,1.9,2.6,20.4
80,Deonte Burton,SF,26,OKC,39,0,356,4.3,12.6,.344,1.0,5.4,.189,3.3,7.3,.458,0.8,1.4,.571,0.7,5.1,5.8,1.7,0.7,1.0,1.9,3.4,10.5
81,Jimmy Butler,SF,30,MIA,58,58,1959,6.3,13.9,.455,0.5,2.2,.244,5.8,11.7,.495,8.0,9.6,.834,1.9,5.1,7.1,6.4,1.9,0.6,2.3,1.5,21.3
82,Bruno Caboclo,C,24,TOT,30,0,244,5.6,13.1,.427,0.9,4.9,.182,4.7,8.3,.571,1.2,1.3,.889,3.4,5.5,8.9,1.8,2.2,2.5,1.9,4.6,13.3
83,Devontae Cacok,C,23,LAL,1,0,9,12.0,24.0,.500,0.0,0.0,,12.0,24.0,.500,0.0,0.0,,8.0,12.0,20.0,4.0,0.0,0.0,0.0,0.0,24.0
84,Kentavious Caldwell-Pope,SG,26,LAL,69,26,1762,4.8,10.4,.467,1.9,4.9,.385,3.0,5.5,.541,1.6,2.1,.775,0.8,2.1,2.9,2.3,1.2,0.3,1.3,2.6,13.2
85,Vlatko Čančar,PF,22,DEN,14,0,45,4.8,12.0,.400,0.8,4.8,.167,4.0,7.2,.556,3.2,3.2,1.000,4.0,4.0,8.0,2.4,0.8,0.8,2.4,5.6,13.6
86,Clint Capela,C,25,HOU,39,39,1279,6.9,10.9,.629,0.0,0.0,,6.9,10.9,.629,1.5,2.9,.529,4.7,10.4,15.1,1.4,0.9,2.0,1.8,2.9,15.3
87,DeMarre Carroll,SF-C,33,TOT,24,0,290,3.1,8.2,.379,1.0,4.1,.242,2.1,4.1,.515,3.6,5.2,.690,1.5,5.3,6.8,3.1,1.0,0.6,2.1,4.0,10.8
88,Jevon Carter,PG,24,PHO,58,2,945,3.8,9.3,.416,2.4,5.6,.425,1.5,3.7,.402,0.9,1.0,.852,1.1,3.4,4.5,3.2,1.8,0.6,1.2,3.3,10.9
89,Vince Carter,PF,43,ATL,60,0,876,4.4,12.5,.352,2.5,8.3,.302,1.9,4.2,.451,0.9,1.2,.793,0.7,4.4,5.1,2.0,0.9,1.0,1.4,3.7,12.2
90,Wendell Carter Jr.,C,20,CHI,43,43,1256,5.2,9.8,.534,0.2,0.8,.207,5.1,9.0,.564,3.2,4.4,.737,4.0,7.6,11.6,1.5,0.9,1.0,2.1,4.6,13.9
91,Michael Carter-Williams,SG,28,ORL,45,0,833,4.8,11.2,.427,1.0,3.2,.293,3.8,8.0,.481,3.4,4.1,.832,2.0,4.4,6.4,4.7,2.1,1.0,2.2,3.8,14.0
92,Alex Caruso,PG,25,LAL,64,2,1175,3.7,8.9,.412,1.2,3.7,.333,2.5,5.2,.468,2.1,2.9,.734,0.5,3.2,3.8,3.8,2.1,0.6,1.6,3.0,10.7
93,Willie Cauley-Stein,C,26,TOT,54,39,1097,5.7,9.9,.579,0.0,0.0,.000,5.7,9.9,.581,1.3,2.2,.606,2.8,7.6,10.3,2.3,1.6,2.0,1.3,4.0,12.8
94,Tyson Chandler,C,37,HOU,26,5,219,2.3,3.0,.778,0.0,0.0,,2.3,3.0,.778,1.0,2.1,.462,4.1,6.7,10.8,1.0,1.0,1.3,1.3,5.3,5.6
95,Wilson Chandler,PF,32,BRK,35,3,734,3.6,9.0,.404,1.8,5.9,.306,1.8,3.0,.597,1.0,1.1,.870,0.5,6.6,7.1,1.9,0.8,0.6,1.7,3.9,10.1
96,Joe Chealey,PG,24,CHO,4,0,33,0.0,7.6,.000,0.0,4.4,.000,0.0,3.3,.000,2.2,2.2,1.000,0.0,0.0,0.0,1.1,4.4,0.0,2.2,2.2,2.2
97,Zylan Cheatham,PF,24,NOP,4,0,51,4.2,6.4,.667,0.0,0.7,.000,4.2,5.6,.750,0.0,0.0,,2.1,4.2,6.4,2.1,0.7,0.7,2.8,7.1,8.5
98,Chris Chiozza,PG,24,TOT,28,2,401,4.9,12.6,.393,2.4,6.5,.375,2.5,6.1,.412,0.4,0.4,1.000,0.8,4.0,4.8,7.5,1.9,0.4,2.9,3.3,12.7
99,Marquese Chriss,PF,22,GSW,59,21,1196,6.3,11.6,.545,0.2,1.2,.205,6.1,10.4,.584,3.6,4.7,.769,3.4,7.6,11.0,3.4,1.2,1.9,2.3,3.7,16.5
100,Gary Clark,SF-PF,25,TOT,42,5,567,3.4,8.4,.406,2.5,7.0,.351,1.0,1.4,.682,0.6,0.6,.900,2.3,4.6,7.0,1.1,0.4,1.4,0.6,2.9,9.9
101,Brandon Clarke,PF,23,MEM,58,4,1300,8.2,13.3,.618,0.6,1.8,.359,7.6,11.5,.658,2.4,3.1,.759,2.5,7.0,9.6,2.2,0.9,1.3,1.5,2.8,19.4
102,Jordan Clarkson,SG,27,TOT,71,2,1705,8.3,18.3,.454,3.2,8.7,.368,5.1,9.6,.533,2.9,3.5,.836,1.1,2.9,3.9,2.9,1.0,0.3,2.0,2.3,22.8
103,Nicolas Claxton,C,20,BRK,15,0,187,5.2,9.2,.563,0.2,1.3,.143,5.0,7.9,.634,2.1,4.0,.524,3.7,4.8,8.5,3.1,0.2,1.5,1.7,2.7,12.7
104,Chris Clemons,SG,22,HOU,33,0,291,7.1,17.6,.401,4.6,13.2,.346,2.5,4.3,.571,1.2,1.4,.909,0.5,3.2,3.7,3.3,1.1,0.7,2.4,3.2,19.9
105,Antonius Cleveland,SG,25,DAL,11,0,46,3.1,11.0,.286,0.0,2.3,.000,3.1,8.6,.364,2.3,3.9,.600,1.6,3.9,5.5,0.8,0.8,2.3,1.6,6.3,8.6
106,Amir Coffey,SG,22,LAC,18,1,159,5.2,12.2,.426,1.4,4.3,.316,3.8,7.9,.486,1.4,2.5,.545,0.9,2.7,3.6,3.2,1.1,0.5,1.8,4.5,13.1
107,John Collins,PF,22,ATL,41,41,1363,9.3,16.0,.583,1.6,3.9,.401,7.8,12.1,.642,3.2,4.0,.800,3.1,7.9,11.0,1.6,0.8,1.7,2.0,3.6,23.4
108,Zach Collins,PF,22,POR,11,11,290,4.0,8.4,.471,0.9,2.4,.368,3.1,6.1,.510,0.7,1.0,.750,3.1,5.5,8.6,2.0,0.6,0.6,1.7,4.5,9.6
109,Mike Conley,PG,32,UTA,47,41,1363,6.1,15.0,.409,2.5,6.8,.375,3.6,8.2,.437,3.0,3.7,.827,0.9,3.1,4.0,5.5,1.0,0.1,2.4,2.7,17.8
110,Pat Connaughton,SG,27,MIL,67,4,1243,4.0,8.7,.455,1.6,4.8,.331,2.4,3.9,.607,0.9,1.2,.775,1.7,6.5,8.2,3.1,0.7,0.9,1.5,2.0,10.4
111,Quinn Cook,PG,26,LAL,44,1,508,6.4,15.2,.425,2.2,6.0,.365,4.3,9.1,.465,0.8,1.0,.786,0.8,2.8,3.6,3.5,0.9,0.1,2.3,1.9,15.9
112,Tyler Cook,PF-SF,22,TOT,13,0,54,5.3,8.0,.667,0.0,0.0,,5.3,8.0,.667,4.7,5.3,.875,4.0,5.3,9.3,0.7,2.0,0.0,2.0,3.3,15.3
113,Robert Covington,PF-C,29,TOT,70,68,2137,5.1,12.2,.422,2.7,8.1,.335,2.4,4.1,.593,1.7,2.1,.798,1.1,6.7,7.8,1.5,1.9,1.6,1.7,3.7,14.7
114,Allen Crabbe,SG-SF,27,TOT,37,1,653,3.5,9.8,.356,2.0,6.6,.303,1.5,3.2,.466,0.6,0.8,.714,0.6,3.6,4.2,1.8,0.8,0.2,0.9,2.6,9.5
115,Torrey Craig,SF,29,DEN,58,27,1072,4.2,9.0,.461,1.5,4.6,.326,2.7,4.4,.603,0.7,1.2,.611,2.1,4.2,6.3,1.6,0.8,1.2,0.8,4.5,10.6
116,Jamal Crawford,SG,39,BRK,1,0,6,12.0,24.0,.500,6.0,12.0,.500,6.0,12.0,.500,0.0,0.0,,0.0,0.0,0.0,18.0,0.0,0.0,0.0,6.0,30.0
117,Jae Crowder,SF-PF,29,TOT,65,53,1875,4.3,10.8,.401,2.6,7.6,.343,1.7,3.2,.538,1.9,2.4,.776,1.0,6.4,7.4,3.1,1.4,0.5,1.3,2.7,13.1
118,Jarrett Culver,SG,20,MIN,63,35,1506,5.5,13.6,.404,1.6,5.3,.299,3.9,8.3,.471,1.3,2.8,.462,1.7,3.4,5.1,2.6,1.4,0.9,1.9,3.0,13.9
119,Seth Curry,SG,29,DAL,64,25,1576,6.5,13.1,.495,3.3,7.3,.452,3.2,5.8,.549,1.8,2.2,.825,0.6,2.7,3.3,2.8,0.9,0.2,1.4,2.6,18.1
120,Stephen Curry,PG,31,GSW,5,5,139,8.5,21.2,.402,3.1,12.7,.245,5.4,8.5,.636,6.7,6.7,1.000,1.0,5.7,6.7,8.5,1.3,0.5,4.1,2.8,26.9
121,Troy Daniels,SG,28,TOT,47,0,532,4.9,12.6,.387,3.1,8.9,.348,1.8,3.7,.481,0.7,1.1,.625,0.8,2.7,3.5,1.2,0.7,0.2,0.8,2.5,13.5
122,Anthony Davis,PF,26,LAL,62,62,2131,9.3,18.5,.503,1.2,3.7,.330,8.1,14.8,.546,7.5,8.9,.846,2.4,7.3,9.7,3.4,1.5,2.4,2.6,2.6,27.3
123,Ed Davis,C,30,UTA,28,1,303,2.6,5.5,.478,0.0,0.0,,2.6,5.5,.478,0.8,1.7,.500,4.2,8.3,12.5,1.4,1.3,1.1,1.5,7.2,6.1
124,Terence Davis,SG,22,TOR,72,4,1209,5.9,13.0,.456,2.8,7.2,.388,3.1,5.8,.541,1.5,1.8,.864,1.5,5.6,7.1,3.4,1.2,0.4,2.3,3.7,16.2
125,Dewayne Dedmon,C,30,TOT,44,18,774,4.7,11.9,.400,1.0,5.0,.206,3.7,6.9,.541,1.4,1.7,.833,2.8,8.8,11.6,1.0,1.2,1.9,2.7,6.2,11.9
126,Matthew Dellavedova,PG,29,CLE,57,4,821,2.7,7.7,.354,0.9,4.0,.231,1.8,3.7,.488,1.4,1.6,.865,0.8,2.5,3.3,7.9,0.9,0.1,2.6,3.4,7.8
127,DeMar DeRozan,SF,30,SAS,68,68,2316,8.7,16.3,.531,0.1,0.5,.257,8.5,15.8,.540,5.9,7.0,.845,0.7,5.1,5.8,5.9,1.1,0.3,2.5,2.8,23.4
128,Cheick Diallo,C,23,PHO,47,2,479,6.9,10.7,.648,0.1,0.2,.333,6.8,10.4,.655,2.6,2.9,.872,2.3,7.6,9.8,1.7,0.8,0.9,2.4,4.1,16.5
129,Hamidou Diallo,SF,21,OKC,46,3,896,5.3,11.9,.446,0.6,2.3,.281,4.7,9.6,.485,1.5,2.5,.603,1.8,4.9,6.7,1.4,1.5,0.4,2.0,4.1,12.8
130,Gorgui Dieng,C,30,TOT,63,17,1096,5.5,12.0,.456,1.8,5.0,.355,3.7,7.0,.528,2.6,3.3,.772,3.0,8.6,11.6,2.4,1.7,1.9,2.0,4.1,15.2
131,Spencer Dinwiddie,PG,26,BRK,64,49,1994,7.7,18.4,.415,2.2,7.2,.308,5.4,11.2,.485,6.3,8.1,.778,0.6,3.4,4.0,7.8,0.7,0.4,3.1,3.2,23.8
132,Donte DiVincenzo,SG,23,MIL,66,24,1520,5.5,12.1,.455,2.0,5.9,.336,3.5,6.2,.567,1.5,2.0,.733,1.6,6.0,7.5,3.6,2.0,0.5,2.1,2.7,14.4
133,Luka Dončić,PG,20,DAL,61,61,2047,10.2,22.1,.463,3.0,9.5,.316,7.2,12.6,.574,7.5,9.9,.758,1.4,8.7,10.1,9.5,1.1,0.2,4.6,2.7,30.9
134,Luguentz Dort,SF,20,OKC,36,28,820,3.8,9.6,.394,1.3,4.4,.297,2.5,5.1,.479,1.8,2.3,.792,1.1,2.5,3.6,1.2,1.4,0.2,1.0,4.3,10.7
135,Damyean Dotson,SG,25,NYK,48,0,836,5.2,12.5,.414,2.5,7.0,.362,2.6,5.5,.480,0.9,1.4,.667,0.4,3.5,3.9,2.5,1.0,0.2,0.9,1.9,13.8
136,Sekou Doumbouya,PF,19,DET,38,19,754,4.4,11.3,.390,1.3,4.7,.286,3.1,6.6,.464,1.5,2.2,.674,1.0,4.7,5.6,0.9,1.0,0.4,1.7,3.8,11.6
137,PJ Dozier,SG,23,DEN,29,0,412,5.7,13.7,.414,1.5,4.3,.347,4.2,9.4,.444,1.8,2.5,.724,0.9,3.9,4.8,5.5,1.2,0.5,2.4,3.9,14.7
138,Goran Dragić,PG,33,MIA,59,3,1663,6.9,15.7,.441,2.7,7.3,.367,4.2,8.4,.505,4.1,5.3,.776,0.6,3.4,4.0,6.5,0.9,0.2,3.1,2.7,20.6
139,Andre Drummond,C,26,TOT,57,56,1879,8.0,15.0,.533,0.1,0.7,.143,7.9,14.4,.551,3.2,5.6,.575,4.8,11.8,16.6,2.9,2.1,1.8,3.9,3.9,19.4
140,Jared Dudley,PF,34,LAL,45,1,364,2.4,5.9,.400,1.8,4.2,.429,0.6,1.8,.333,0.2,0.2,1.000,0.6,4.5,5.1,2.8,1.5,0.3,0.8,4.1,6.7
141,Kris Dunn,PG,25,CHI,51,32,1269,4.3,9.7,.444,0.8,3.2,.259,3.5,6.5,.535,1.1,1.5,.741,0.7,4.6,5.3,4.9,2.9,0.5,1.9,4.5,10.6
142,Carsen Edwards,SG,21,BOS,37,0,351,4.3,13.1,.328,2.5,7.8,.316,1.8,5.3,.346,1.3,1.9,.684,0.6,4.2,4.8,2.5,1.2,0.4,1.5,3.5,12.4
143,Henry Ellenson,C,23,BRK,5,0,15,2.4,16.8,.143,0.0,9.6,.000,2.4,7.2,.333,0.0,0.0,,4.8,9.6,14.4,2.4,0.0,0.0,0.0,2.4,4.8
144,Wayne Ellington,SG,32,NYK,36,1,558,3.9,11.2,.351,3.2,9.2,.350,0.7,2.0,.355,0.7,0.8,.846,0.3,3.9,4.2,2.8,0.8,0.3,1.2,2.6,11.8
145,Joel Embiid,C,25,PHI,51,51,1506,9.1,19.1,.477,1.4,4.1,.331,7.8,15.0,.517,8.4,10.4,.807,3.4,10.8,14.2,3.6,1.1,1.6,3.8,4.2,28.0
146,James Ennis,SF-SG,29,TOT,69,18,1265,4.6,10.2,.446,1.6,4.8,.325,3.0,5.4,.553,2.2,2.8,.806,2.0,5.0,7.0,1.8,1.0,0.6,1.7,3.9,12.9
147,Drew Eubanks,C,22,SAS,22,3,272,5.7,8.9,.642,0.1,0.1,1.000,5.6,8.7,.636,2.6,3.4,.769,3.7,7.5,11.3,2.0,0.7,2.3,2.8,4.9,14.2
148,Jacob Evans,SG,22,TOT,29,1,418,3.9,11.5,.336,1.1,3.4,.333,2.8,8.2,.337,2.2,2.5,.862,0.8,2.8,3.5,2.7,0.9,1.0,2.2,3.5,11.0
149,Dante Exum,SG,24,TOT,35,1,485,4.2,8.8,.471,1.1,3.2,.349,3.0,5.6,.539,2.4,3.2,.744,0.9,4.1,5.0,3.0,1.0,0.6,2.3,2.8,11.8
150,Tacko Fall,C,24,BOS,7,0,33,12.0,15.3,.786,0.0,0.0,,12.0,15.3,.786,1.1,3.3,.333,1.1,15.3,16.4,1.1,1.1,4.4,3.3,7.6,25.1
151,Derrick Favors,C,28,NOP,51,49,1243,6.1,9.8,.617,0.0,0.2,.143,6.0,9.6,.627,1.2,2.1,.563,4.7,9.8,14.5,2.3,0.9,1.3,1.6,3.1,13.3
152,Cristiano Felício,C,27,CHI,22,0,386,3.2,5.0,.630,0.0,0.2,.000,3.2,4.8,.654,1.7,2.1,.783,5.1,4.4,9.5,1.5,0.9,0.2,1.7,3.2,8.0
153,Terrance Ferguson,SF,21,OKC,56,38,1257,2.2,6.3,.355,1.4,4.8,.292,0.8,1.5,.558,0.4,0.6,.750,0.7,1.5,2.1,1.5,0.8,0.5,0.9,4.4,6.3
154,Bruno Fernando,C,21,ATL,56,13,713,5.2,10.0,.518,0.3,1.9,.135,4.9,8.2,.605,1.5,2.6,.569,3.4,6.6,10.0,2.5,0.9,0.9,2.1,5.4,12.1
155,Yogi Ferrell,PG,26,SAC,50,0,530,5.4,12.8,.420,1.6,5.4,.304,3.7,7.4,.505,2.4,2.9,.857,0.4,2.9,3.3,4.7,1.2,0.3,1.9,2.6,14.8
156,Dorian Finney-Smith,PF,26,DAL,71,68,2120,4.1,8.9,.466,1.9,5.1,.376,2.2,3.7,.589,1.3,1.8,.722,2.5,4.4,6.9,1.9,0.8,0.7,1.2,3.0,11.5
157,Bryn Forbes,SG,26,SAS,63,62,1579,5.5,13.2,.417,3.4,8.7,.388,2.1,4.6,.470,1.7,2.1,.833,0.3,2.6,2.9,2.5,0.8,0.0,1.3,2.6,16.1
158,Evan Fournier,SF,27,ORL,66,66,2076,7.5,16.1,.467,3.0,7.5,.399,4.5,8.6,.527,3.1,3.8,.818,0.3,2.7,3.0,3.6,1.2,0.3,2.2,2.8,21.2
