,player,pos,age,team_id,g,gs,mp,fg_per_mp,fga_per_mp,fg_pct,fg3_per_mp,fg3a_per_mp,fg3_pct,fg2_per_mp,fg2a_per_mp,fg2_pct,ft_per_mp,fta_per_mp,ft_pct,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp
485,Denzel Valentine,SF,26,CHI,36,5,488,7.2,17.5,.409,3.4,10.1,.336,3.8,7.4,.510,0.4,0.6,.750,0.7,4.8,5.5,3.2,1.9,0.4,1.9,3.8,18.1
486,Jarred Vanderbilt,PF,20,TOT,11,0,46,3.9,6.3,.625,0.0,0.8,.000,3.9,5.5,.714,1.6,1.6,1.000,2.3,4.7,7.0,1.6,2.3,0.8,5.5,4.7,9.4
487,Fred VanVleet,SG,25,TOR,54,54,1928,6.0,14.4,.413,2.7,7.0,.390,3.2,7.5,.434,3.1,3.7,.848,0.3,3.5,3.8,6.7,1.9,0.3,2.3,2.5,17.8
488,Gabe Vincent,PG,23,MIA,9,0,83,3.5,16.0,.216,2.6,11.7,.222,0.9,4.3,.200,0.0,0.0,,0.0,2.2,2.2,2.6,2.2,0.0,0.4,2.6,9.5
489,Noah Vonleh,C,24,TOT,36,1,377,5.0,8.8,.565,0.3,1.4,.200,4.7,7.4,.636,2.4,3.1,.781,3.5,8.3,11.8,2.7,1.1,0.6,2.0,3.8,12.6
490,Nikola Vučević,C,29,ORL,62,62,1998,8.9,18.6,.477,1.8,5.2,.339,7.1,13.4,.531,2.4,3.0,.784,2.5,9.6,12.1,4.0,1.0,0.8,1.6,2.4,21.9
491,Dean Wade,PF,23,CLE,12,0,71,4.6,6.6,.692,1.0,2.0,.500,3.5,4.6,.778,0.0,0.5,.000,1.5,8.1,9.6,1.0,1.0,2.0,1.5,4.1,10.1
492,Moritz Wagner,C,22,WAS,45,5,835,6.3,11.5,.545,1.1,3.4,.313,5.2,8.0,.645,3.4,4.1,.821,2.4,7.0,9.4,2.4,1.2,0.8,2.8,6.6,16.9
493,Dion Waiters,SG,28,TOT,10,0,207,7.1,17.2,.414,2.6,8.2,.319,4.5,9.0,.500,2.4,3.0,.824,0.3,3.8,4.2,3.5,0.7,1.0,2.8,3.7,19.3
494,Kemba Walker,PG,29,BOS,56,56,1742,7.8,18.4,.425,3.7,9.8,.381,4.1,8.6,.476,4.3,5.0,.864,0.7,3.7,4.5,5.5,1.0,0.6,2.4,1.9,23.7
495,Lonnie Walker,SG,21,SAS,61,12,988,5.5,13.0,.426,1.5,3.7,.406,4.0,9.3,.434,1.6,2.2,.721,0.8,4.2,5.1,2.5,1.2,0.5,1.6,2.8,14.2
496,Tyrone Wallace,SG,25,ATL,14,0,160,3.2,9.9,.318,0.2,3.4,.067,2.9,6.5,.448,2.5,3.8,.647,0.7,4.3,5.0,2.9,1.6,0.2,2.3,4.3,9.0
497,Derrick Walton,PG,24,TOT,26,1,248,2.6,5.7,.462,1.5,3.5,.417,1.2,2.2,.533,1.0,1.3,.778,0.3,2.0,2.3,3.9,1.0,0.0,0.7,3.0,7.7
498,Brad Wanamaker,PG,30,BOS,71,1,1369,4.3,9.5,.448,1.0,2.7,.363,3.3,6.8,.481,3.3,3.6,.926,0.6,3.2,3.8,4.7,1.6,0.4,2.0,3.5,12.8
499,T.J. Warren,SF,26,IND,67,67,2202,8.7,16.3,.536,1.5,3.7,.403,7.2,12.6,.575,2.7,3.3,.819,1.1,3.5,4.6,1.6,1.3,0.6,1.4,3.1,21.7
500,P.J. Washington,PF,21,CHO,58,57,1759,5.5,12.1,.455,1.8,4.7,.374,3.7,7.3,.507,1.8,2.8,.647,1.2,5.3,6.5,2.5,1.0,0.9,1.9,3.2,14.5
501,Yuta Watanabe,SF,25,MEM,18,0,105,5.1,11.7,.441,1.0,2.7,.375,4.1,8.9,.462,1.0,2.7,.375,2.4,4.5,6.9,1.7,1.7,0.3,0.7,3.1,12.3
