,player,pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
0,Shareef Abdur-Rahim,C,30,SAC,80,45,2015,7.8,16.4,.474,0.1,0.5,.150,7.7,15.9,.484,4.3,5.9,.726,3.1,6.9,10.0,2.7,1.3,1.0,2.9,6.1,19.9,,103,108
1,Hassan Adams,SG,22,NJN,61,8,495,8.0,14.3,.556,0.0,0.1,.000,8.0,14.2,.560,2.5,3.8,.667,3.7,4.5,8.2,1.4,1.8,0.4,2.3,5.0,18.5,,109,107
2,Maurice Ager,SG,22,DAL,32,1,214,5.5,17.5,.314,1.3,3.8,.333,4.3,13.8,.309,5.0,8.3,.606,0.3,5.0,5.3,1.8,1.0,0.8,3.8,6.8,17.3,,79,106
3,LaMarcus Aldridge,C,21,POR,63,22,1392,9.4,18.7,.503,0.0,0.1,.000,9.4,18.6,.505,3.2,4.5,.722,5.6,6.6,12.2,0.9,0.9,2.8,1.7,7.3,22.1,,113,109
4,Malik Allen,PF,28,CHI,60,1,638,8.6,20.7,.415,0.0,0.1,.000,8.6,20.6,.416,2.2,2.7,.824,3.4,6.2,9.6,1.3,1.4,1.3,1.7,6.8,19.4,,96,100
5,Ray Allen*,SG,31,SEA,55,55,2219,11.9,27.2,.438,3.9,10.4,.372,8.0,16.7,.479,6.6,7.3,.903,1.3,4.5,5.8,5.4,1.9,0.3,3.6,2.7,34.3,,112,112
6,Tony Allen,SG,25,BOS,33,18,805,8.6,16.8,.514,0.5,2.1,.242,8.1,14.6,.553,6.8,8.7,.784,2.3,5.8,8.0,3.6,3.2,0.8,4.9,5.6,24.6,,105,104
7,Rafer Alston,PG,30,HOU,82,82,3040,6.7,17.8,.375,3.3,9.2,.363,3.3,8.5,.389,2.3,3.1,.734,0.5,4.4,4.9,7.7,2.2,0.2,3.0,3.4,18.9,,103,102
8,Lou Amundson,PF,24,TOT,11,0,89,3.6,8.9,.400,0.0,0.0,,3.6,8.9,.400,2.4,5.9,.400,7.7,8.9,16.6,0.6,0.6,4.8,3.0,8.9,9.5,,91,103
9,Alan Anderson,SG,24,CHA,17,0,256,7.5,16.5,.457,1.0,4.1,.250,6.5,12.4,.525,3.9,4.7,.826,2.2,4.3,6.5,4.3,1.4,0.0,4.5,6.7,20.0,,97,110
10,Derek Anderson,SF,32,CHA,50,32,1190,5.5,12.9,.429,2.4,6.7,.355,3.2,6.2,.507,4.1,4.6,.877,1.3,3.7,5.0,5.8,2.3,0.3,2.5,5.0,17.5,,116,109
11,Carmelo Anthony,SF,22,DEN,65,65,2486,13.7,28.8,.476,0.8,3.0,.268,12.9,25.8,.499,9.1,11.3,.808,2.8,4.9,7.7,4.9,1.5,0.5,4.6,4.0,37.3,,109,108
12,Rafael Araújo,C,26,UTA,28,0,248,5.7,13.7,.415,0.0,0.0,,5.7,13.7,.415,3.8,6.1,.621,4.6,9.3,13.9,2.1,1.3,0.4,3.6,8.2,15.2,,93,106
13,Gilbert Arenas,PG,25,WAS,74,73,2942,11.2,26.8,.418,3.6,10.1,.351,7.7,16.7,.459,10.5,12.5,.844,1.1,4.8,5.9,7.7,2.4,0.2,4.1,4.3,36.5,,115,111
14,Trevor Ariza,SG,21,ORL,57,7,1278,8.4,15.5,.539,0.0,0.3,.000,8.4,15.2,.549,4.4,7.1,.620,4.1,6.3,10.4,2.7,2.5,0.8,3.5,5.6,21.2,,108,103
15,Darrell Armstrong,PG,38,IND,81,4,1275,6.4,15.4,.414,2.9,8.7,.336,3.4,6.6,.515,3.0,3.8,.785,1.4,4.1,5.5,7.8,2.9,0.2,3.1,4.2,18.6,,110,105
