,player,pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
18,Dalibor Bagarić,C,22,CHI,10,0,76,5.4,17.6,.308,0.0,0.0,,5.4,17.6,.308,2.0,2.7,.750,4.7,8.8,13.5,2.7,2.0,2.0,3.4,7.4,12.8,,77,102
19,Vin Baker,C,31,BOS,52,9,942,5.6,11.6,.478,0.0,0.2,.000,5.6,11.4,.488,4.0,6.0,.673,5.0,6.1,11.1,1.6,1.2,1.7,3.4,8.2,15.1,,101,102
20,Brent Barry,SG,31,SEA,75,68,2480,5.8,12.7,.458,2.6,6.4,.403,3.2,6.2,.514,2.8,3.5,.795,1.1,5.6,6.6,8.4,2.5,0.3,3.1,4.4,17.0,,115,104
21,Jon Barry,SG,33,DET,80,0,1473,7.2,15.9,.450,3.3,8.0,.407,3.9,7.9,.495,3.2,3.8,.860,1.2,5.5,6.8,7.7,2.4,0.5,3.0,3.9,20.8,,116,100
22,Maceo Baston,PF,27,TOR,16,0,106,7.6,12.6,.600,0.0,0.0,,7.6,12.6,.600,5.0,6.0,.833,2.0,9.6,11.6,0.0,2.0,5.5,3.0,8.1,20.2,,113,100
23,Mengke Bateer,C,27,SAS,12,0,46,4.6,19.7,.235,1.2,3.5,.333,3.5,16.2,.214,0.0,2.3,.000,2.3,9.3,11.6,4.6,0.0,0.0,7.0,16.2,10.4,,53,102
24,Mike Batiste,PF,25,MEM,75,2,1248,8.2,19.4,.422,0.7,3.4,.222,7.4,16.0,.464,2.9,3.7,.784,3.4,7.3,10.7,2.2,1.7,0.7,2.9,5.0,20.0,,96,107
25,Tony Battie,C,26,BOS,67,62,1683,6.2,11.6,.539,0.0,0.2,.200,6.2,11.4,.544,2.8,3.7,.746,4.6,8.9,13.6,1.5,1.0,2.5,1.5,6.2,15.3,,119,100
26,Shane Battier,SF,24,MEM,78,47,2383,6.0,12.4,.483,1.9,4.7,.398,4.1,7.7,.535,2.6,3.2,.828,2.8,4.7,7.5,2.3,2.2,1.9,1.5,4.5,16.4,,120,107
27,Lonny Baxter,C,24,CHI,55,0,682,7.2,15.5,.466,0.0,0.2,.000,7.2,15.3,.471,5.3,7.7,.680,4.9,7.5,12.4,1.2,0.7,1.7,3.5,10.2,19.7,,100,106
28,Raja Bell,SG,26,DAL,75,32,1173,4.1,9.3,.441,0.9,2.3,.412,3.2,7.1,.450,1.0,1.5,.676,2.1,4.3,6.4,2.5,2.3,0.4,1.9,5.9,10.2,,101,104
29,Jonathan Bender,SF,22,IND,46,2,819,7.2,16.3,.441,1.2,3.4,.358,6.0,12.9,.463,3.8,5.4,.714,2.7,5.8,8.5,2.7,0.5,3.6,2.7,5.5,19.4,,103,102
30,Corey Benjamin,SG,24,ATL,9,0,152,4.5,14.9,.302,0.7,4.5,.154,3.8,10.4,.367,4.2,5.6,.750,3.5,7.3,10.8,3.5,0.3,0.7,2.1,6.9,13.9,,93,109
31,Travis Best,PG,30,MIA,72,52,1807,7.0,17.6,.396,1.1,3.3,.330,5.9,14.3,.411,3.2,3.7,.854,0.8,3.7,4.4,7.7,1.3,0.2,3.2,5.3,18.2,,97,106
32,Mike Bibby,PG,24,SAC,55,55,1835,9.0,19.2,.470,1.5,3.8,.409,7.5,15.4,.485,4.4,5.1,.861,0.9,3.1,4.0,7.8,2.0,0.2,3.5,2.6,24.0,,109,103
33,Chauncey Billups,PG,26,DET,74,74,2327,8.7,20.7,.421,3.5,9.0,.392,5.2,11.6,.443,7.6,8.6,.878,0.9,5.6,6.5,6.8,1.5,0.4,3.2,3.2,28.5,,116,102
34,Corie Blount,C,34,CHI,50,3,836,4.0,8.2,.485,0.0,0.0,,4.0,8.2,.485,1.2,2.1,.571,4.2,8.4,12.6,3.1,2.0,1.2,2.6,7.4,9.2,,99,103
35,Mark Blount,C,27,TOT,81,31,1403,5.6,13.1,.432,0.0,0.0,,5.6,13.1,.432,3.8,5.2,.727,4.2,7.4,11.6,2.1,1.6,2.6,3.9,7.0,15.1,,93,100
36,Calvin Booth,C,26,SEA,47,0,575,4.9,11.3,.437,0.0,0.2,.000,4.9,11.1,.444,3.2,4.5,.723,3.0,7.3,10.3,1.1,1.0,3.1,2.1,7.0,13.1,,99,103
37,Carlos Boozer,PF,21,CLE,81,54,2049,8.3,15.4,.536,0.0,0.0,.000,8.3,15.4,.536,3.7,4.8,.771,5.0,10.1,15.2,2.6,1.5,1.2,2.6,5.6,20.2,,114,105
38,Ruben Boumtje-Boumtje,C,24,POR,2,0,5,0.0,10.7,.000,0.0,0.0,,0.0,10.7,.000,0.0,0.0,,10.7,0.0,10.7,10.7,10.7,0.0,0.0,0.0,0.0,,90,90
39,Bruce Bowen,SF,31,SAS,82,82,2566,4.6,10.0,.466,2.1,4.8,.441,2.5,5.2,.488,0.7,1.8,.404,1.2,3.7,5.0,2.3,1.4,0.9,1.5,4.1,12.1,,110,103
40,Ryan Bowen,SG,27,DEN,62,31,996,5.1,10.4,.492,0.1,0.4,.286,5.0,10.1,.500,1.4,2.2,.659,4.1,4.2,8.3,2.9,3.4,1.5,2.3,4.3,11.8,,103,99
41,Earl Boykins,PG,26,GSW,68,0,1321,7.7,17.9,.429,1.1,3.0,.377,6.6,14.9,.439,6.7,7.7,.865,1.3,2.0,3.4,8.5,1.5,0.2,2.8,2.9,23.1,,118,114
42,Michael Bradley,PF,23,TOR,67,11,1314,6.1,12.8,.481,0.0,0.2,.167,6.1,12.5,.487,1.4,2.7,.522,6.6,10.0,16.6,2.7,0.7,1.3,3.1,5.1,13.7,,100,107
43,Shawn Bradley,C,30,DAL,81,39,1731,6.0,11.2,.536,0.0,0.0,.000,6.0,11.2,.537,4.2,5.2,.806,4.5,9.7,14.3,1.6,1.9,5.1,2.0,7.3,16.3,,121,96
44,Elton Brand,PF,23,LAC,62,61,2454,9.7,19.3,.502,0.0,0.0,.000,9.7,19.2,.502,5.2,7.6,.685,6.1,9.0,15.1,3.4,1.5,3.4,3.4,4.4,24.5,,109,103
45,J.R. Bremer,PG,22,BOS,64,41,1503,6.0,16.3,.369,3.5,10.1,.353,2.5,6.3,.393,3.0,3.9,.766,0.6,4.5,5.1,5.8,1.3,0.1,2.1,2.8,18.6,,106,105
46,Jamison Brewer,PG,22,IND,10,0,80,5.9,11.1,.529,0.0,1.3,.000,5.9,9.8,.600,2.6,5.9,.444,3.3,2.6,5.9,11.8,1.3,0.7,3.9,7.2,14.4,,108,105
47,Primož Brezec,C,23,IND,22,1,111,7.1,17.9,.395,0.0,0.5,.000,7.1,17.5,.405,5.7,9.4,.600,6.1,4.7,10.9,1.9,0.9,1.9,3.3,7.6,19.8,,95,103
48,Damone Brown,PF,23,TOR,5,3,115,5.1,16.3,.314,0.0,0.9,.000,5.1,15.3,.333,2.8,3.7,.750,1.4,5.6,7.0,1.4,0.5,0.0,2.8,6.5,13.0,,74,111
49,Devin Brown,SG,24,TOT,10,2,93,6.8,19.9,.343,0.0,0.6,.000,6.8,19.3,.353,3.4,4.5,.750,4.5,5.7,10.2,4.0,2.3,0.6,5.1,8.0,17.1,,80,101
50,Kedrick Brown,SF,21,BOS,51,5,666,4.8,13.6,.357,0.2,3.1,.077,4.6,10.5,.439,1.6,2.5,.625,3.6,7.5,11.1,1.6,2.7,1.0,1.8,5.4,11.5,,86,99
51,Kwame Brown,C,20,WAS,80,20,1773,6.9,15.4,.446,0.0,0.1,.000,6.9,15.3,.449,4.5,6.7,.668,3.9,9.2,13.1,1.8,1.5,2.5,3.4,4.9,18.2,,96,102
52,P.J. Brown,PF,33,NOH,78,78,2609,6.6,12.4,.531,0.0,0.1,.000,6.6,12.3,.533,4.0,4.8,.836,5.0,9.4,14.4,3.0,1.4,1.6,2.0,4.2,17.1,,122,100
53,Randy Brown,PG,34,PHO,32,0,262,3.2,8.6,.372,0.0,0.0,,3.2,8.6,.372,1.8,2.4,.750,0.6,4.6,5.2,7.0,3.4,0.4,3.4,7.2,8.2,,86,101
54,Tierre Brown,PG,23,CLE,15,0,168,8.2,17.9,.458,0.0,0.3,.000,8.2,17.6,.466,3.3,4.3,.786,2.4,6.7,9.1,11.9,4.0,0.0,6.7,2.7,19.8,,94,103
55,Rick Brunson,PG,30,CHI,17,0,196,6.0,13.1,.460,1.0,1.6,.667,5.0,11.5,.432,2.6,3.1,.833,1.0,3.9,5.0,9.4,2.6,0.8,4.5,5.2,15.7,,102,106
56,Kobe Bryant*,SG,24,LAL,82,82,3401,13.2,29.4,.451,1.9,4.9,.383,11.4,24.4,.465,9.2,10.9,.843,1.6,7.0,8.6,7.3,2.8,1.0,4.4,3.3,37.6,,111,103
57,Mark Bryant,PF,37,TOT,16,0,100,2.6,10.0,.263,0.0,0.0,,2.6,10.0,.263,1.6,2.1,.750,4.2,6.3,10.5,2.1,0.5,0.5,3.7,9.5,6.8,,69,106
58,Greg Buckner,SG,26,PHI,75,5,1514,6.4,13.8,.465,0.5,1.9,.273,5.9,11.9,.496,2.3,2.8,.802,2.5,5.0,7.5,3.3,2.5,0.6,2.1,7.0,15.6,,106,103
59,Pat Burke,C,29,ORL,62,8,783,7.4,19.5,.382,0.1,0.5,.143,7.4,19.0,.388,2.6,3.8,.690,3.8,5.9,9.6,1.5,1.3,1.6,3.1,6.5,17.6,,86,106
60,Caron Butler,SF,22,MIA,78,78,2858,8.2,19.7,.416,0.7,2.0,.318,7.6,17.7,.427,5.9,7.2,.824,2.6,5.0,7.6,4.1,2.6,0.6,3.7,4.4,23.0,,99,102
61,Rasual Butler,SG,23,MIA,72,28,1514,7.5,20.6,.362,1.8,6.2,.292,5.7,14.5,.392,2.7,3.8,.731,1.0,5.7,6.7,3.4,0.8,1.6,2.8,3.8,19.5,,88,104
62,Jason Caffey,PF,29,MIL,51,16,894,6.7,14.7,.456,0.0,0.0,,6.7,14.7,.456,4.1,6.3,.651,4.0,6.4,10.5,2.3,1.1,0.9,3.3,7.2,17.5,,98,110
63,Marcus Camby,C,28,DEN,29,9,616,8.0,19.4,.410,0.2,0.4,.400,7.8,19.0,.410,2.8,4.3,.660,6.4,11.4,17.8,4.0,1.7,3.4,2.3,5.9,18.9,,99,96
64,Elden Campbell,C,34,TOT,56,1,869,7.3,18.3,.397,0.0,0.1,.000,7.3,18.2,.398,6.8,8.4,.801,2.9,8.3,11.2,3.2,2.0,2.4,3.1,8.0,21.3,,100,99
65,Brian Cardinal,PF,25,WAS,5,0,15,3.6,14.5,.250,0.0,3.6,.000,3.6,10.9,.333,7.3,7.3,1.000,10.9,7.3,18.1,3.6,0.0,0.0,3.6,0.0,14.5,,100,109
66,Anthony Carter,PG,27,MIA,49,26,912,5.0,14.0,.356,0.0,0.5,.000,5.0,13.5,.369,2.0,3.0,.660,0.7,4.3,5.0,12.2,2.7,0.3,4.9,4.2,11.9,,84,103
67,Vince Carter,SG,26,TOR,43,42,1471,12.9,27.6,.467,1.6,4.8,.344,11.3,22.8,.493,4.7,5.8,.806,2.1,4.7,6.8,5.2,1.7,1.5,2.7,4.4,32.1,,109,108
68,Sam Cassell,PG,33,MIL,78,77,2700,10.7,22.9,.470,1.2,3.2,.362,9.6,19.6,.487,7.6,8.8,.861,1.1,5.6,6.7,8.9,1.7,0.3,3.5,4.2,30.2,,115,110
69,Kelvin Cato,C,28,HOU,73,5,1247,5.8,11.1,.520,0.0,0.2,.000,5.8,10.9,.528,2.9,5.4,.532,5.7,12.8,18.6,0.9,1.6,3.7,2.4,7.6,14.4,,107,96
70,Tyson Chandler,C,20,CHI,75,68,1827,7.2,13.6,.531,0.0,0.0,,7.2,13.6,.531,5.0,8.2,.608,4.7,9.7,14.4,2.1,1.0,3.0,3.8,6.2,19.4,,104,103
71,Calbert Cheaney,SG,31,UTA,81,74,2351,7.4,14.9,.499,0.2,0.6,.400,7.2,14.3,.503,0.9,1.6,.580,1.7,4.8,6.5,3.7,1.5,0.3,2.5,5.1,16.0,,100,106
72,Chris Childs,PG,35,NJN,12,0,106,3.0,9.9,.300,0.5,3.0,.167,2.5,6.9,.357,1.0,1.5,.667,1.5,1.0,2.5,7.9,4.0,0.5,3.0,8.4,7.4,,84,98
73,Doug Christie,SG,32,SAC,80,80,2710,5.0,10.3,.479,1.4,3.4,.395,3.6,6.9,.522,2.6,3.2,.810,1.1,5.2,6.4,7.0,3.3,0.7,2.7,3.5,13.9,,113,98
74,Keon Clark,C,27,SAC,80,11,1780,6.4,12.8,.501,0.0,0.1,.000,6.4,12.6,.506,2.4,3.6,.656,3.9,8.9,12.8,2.3,1.1,4.2,2.7,6.4,15.2,,103,97
75,Speedy Claxton,PG,24,SAS,30,0,471,7.6,16.4,.462,0.0,1.2,.000,7.6,15.2,.500,4.4,6.5,.684,2.5,3.8,6.3,8.5,2.5,0.8,4.0,4.9,19.6,,105,101
76,Mateen Cleaves,PG,25,SAC,12,0,55,5.5,21.0,.261,0.9,0.9,1.000,4.6,20.1,.227,2.7,3.7,.750,0.9,6.4,7.3,9.2,1.8,0.0,12.8,5.5,14.6,,55,101
77,Derrick Coleman,C,35,PHI,64,35,1742,6.7,15.0,.448,0.7,2.0,.328,6.1,13.0,.466,4.0,5.2,.784,4.6,9.0,13.6,2.6,1.6,2.1,2.9,5.2,18.1,,106,101
78,Bimbo Coles,PG,34,TOT,35,11,691,4.2,12.5,.333,0.5,2.4,.219,3.7,10.1,.360,2.6,3.1,.833,0.8,3.6,4.4,5.4,1.3,0.3,2.1,4.5,11.5,,92,109
79,Jason Collier,C,25,HOU,13,3,104,8.8,18.7,.472,0.0,0.0,,8.8,18.7,.472,1.0,1.0,1.000,6.2,8.8,15.1,0.5,1.0,0.5,1.0,5.2,18.7,,110,104
80,Jarron Collins,C,24,UTA,22,7,421,4.9,11.0,.442,0.0,0.1,.000,4.9,10.9,.447,5.6,7.9,.710,4.1,3.6,7.7,1.8,0.6,0.8,2.4,8.9,15.3,,108,108
81,Jason Collins,C,24,NJN,81,66,1900,3.9,9.3,.414,0.0,0.1,.000,3.9,9.2,.419,5.0,6.5,.763,3.8,6.4,10.2,2.4,1.3,1.2,2.3,7.0,12.7,,107,99
82,Chris Crawford,PF,27,ATL,5,0,38,11.1,18.1,.615,1.4,4.2,.333,9.7,13.9,.700,9.7,11.1,.875,4.2,5.6,9.7,1.4,2.8,4.2,2.8,9.7,33.3,,136,102
83,Jamal Crawford,PG,22,CHI,80,31,1992,8.6,20.8,.413,2.2,6.2,.355,6.4,14.6,.438,2.7,3.3,.806,0.5,4.2,4.8,8.6,2.0,0.6,3.5,3.2,22.1,,101,107
84,Austin Croshere,PF,27,IND,49,0,633,7.1,17.3,.411,2.2,5.7,.391,4.9,11.6,.421,4.4,5.4,.815,3.3,9.5,12.8,4.6,0.5,1.1,2.3,4.0,20.9,,111,102
85,John Crotty,PG,33,DEN,12,0,180,4.1,12.0,.341,1.2,3.8,.308,2.9,8.2,.357,2.6,4.4,.600,0.3,4.1,4.4,8.5,0.9,0.0,2.6,4.7,12.0,,95,106
86,Eddy Curry,C,20,CHI,81,48,1571,10.9,18.7,.585,0.0,0.0,,10.9,18.7,.585,5.8,9.4,.624,3.8,7.7,11.5,1.2,0.6,2.0,4.5,7.4,27.7,,106,106
87,Michael Curry,SF,34,DET,78,77,1555,3.3,8.1,.402,0.6,1.9,.296,2.7,6.2,.434,1.3,1.6,.800,0.6,3.9,4.5,3.7,1.6,0.1,1.5,5.8,8.4,,98,103
88,Erick Dampier,C,27,GSW,82,82,1978,6.7,13.4,.496,0.0,0.1,.000,6.7,13.4,.498,4.0,5.7,.698,6.4,7.6,14.0,1.5,0.7,4.0,2.9,6.2,17.3,,111,108
89,Antonio Daniels,SG,27,POR,67,2,872,5.2,11.5,.452,1.1,3.6,.305,4.1,7.8,.520,4.0,4.7,.855,0.7,3.8,4.4,5.2,2.0,0.6,2.0,2.6,15.5,,117,105
90,Antonio Davis,C,34,TOR,53,52,1894,7.4,18.1,.407,0.0,0.0,,7.4,18.1,.407,6.1,7.9,.771,3.7,8.7,12.3,3.7,0.6,1.7,3.3,4.2,20.8,,99,107
91,Baron Davis,PG,23,NOH,50,47,1889,9.4,22.7,.416,2.8,8.0,.350,6.6,14.6,.452,2.6,3.7,.710,1.6,3.7,5.3,9.1,2.6,0.6,4.0,4.2,24.3,,103,102
92,Dale Davis,C,33,POR,78,78,2282,5.6,10.3,.541,0.0,0.0,,5.6,10.3,.541,2.5,3.9,.633,5.5,7.8,13.3,2.2,1.2,1.6,1.7,4.4,13.6,,119,103
93,Emanual Davis,SG,34,ATL,24,1,340,5.0,13.7,.364,1.1,4.5,.241,3.9,9.2,.424,2.6,3.4,.773,0.8,5.9,6.7,5.6,1.9,0.3,3.9,4.3,13.7,,87,107
94,Hubert Davis,SG,32,DET,43,1,328,5.2,13.3,.392,2.0,6.1,.333,3.2,7.3,.442,0.8,1.0,.833,1.0,5.1,6.1,4.9,0.8,0.0,1.9,3.9,13.3,,101,104
95,Ricky Davis,SG,23,CLE,79,76,3131,9.8,24.0,.410,1.2,3.3,.363,8.6,20.7,.417,5.7,7.6,.748,1.6,4.8,6.4,7.1,2.0,0.6,4.5,2.9,26.5,,98,108
96,Andrew DeClercq,C,29,ORL,77,21,1327,5.8,10.8,.534,0.0,0.0,,5.8,10.8,.534,2.6,4.0,.644,5.5,7.7,13.2,2.0,1.5,1.4,3.3,10.0,14.2,,106,104
97,Tony Delk,PG,29,BOS,67,39,1873,6.6,15.8,.416,3.4,8.6,.395,3.2,7.2,.441,1.9,2.5,.782,1.2,5.4,6.5,4.1,2.0,0.3,1.9,3.5,18.4,,108,103
98,Dan Dickau,PG,24,ATL,50,0,515,7.2,17.4,.412,2.3,6.3,.361,4.9,11.2,.440,2.2,2.7,.808,0.9,3.5,4.4,8.7,1.4,0.2,5.4,6.8,18.8,,94,110
99,Michael Dickerson,SG,27,MEM,6,1,87,6.0,14.3,.417,2.4,6.5,.364,3.6,7.7,.462,3.0,3.0,1.000,0.6,3.0,3.6,4.8,3.0,0.6,3.6,9.5,17.3,,101,108
100,DeSagana Diop,PF,21,CLE,80,1,943,2.9,8.3,.351,0.0,0.0,,2.9,8.3,.351,0.6,1.6,.367,3.4,8.2,11.6,2.3,1.8,4.4,3.0,8.0,6.4,,74,102
101,Vlade Divac*,C,34,SAC,80,80,2384,6.4,13.8,.466,0.1,0.5,.240,6.3,13.3,.475,3.8,5.3,.713,3.3,8.8,12.1,5.8,1.8,2.2,3.2,5.0,16.8,,105,97
102,Juan Dixon,PG,24,WAS,42,3,647,8.8,22.8,.384,2.1,7.1,.298,6.6,15.7,.422,3.1,3.9,.804,1.1,5.0,6.1,3.4,2.2,0.3,3.5,4.5,22.7,,90,105
103,Michael Doleac,C,25,NYK,75,0,1041,7.4,17.4,.426,0.0,0.0,,7.4,17.4,.426,1.8,2.3,.783,3.3,7.8,11.1,2.1,0.8,0.8,2.5,7.6,16.7,,92,107
104,Keyon Dooling,SG,22,LAC,55,1,969,6.9,17.8,.389,2.7,7.5,.360,4.2,10.3,.411,2.4,3.1,.772,0.5,3.4,3.9,4.8,1.3,0.3,3.3,5.0,19.0,,97,111
105,Bryce Drew,PG,28,NOH,13,0,79,5.4,18.4,.296,2.0,4.8,.429,3.4,13.6,.250,0.0,0.0,,2.7,6.1,8.8,7.5,1.4,0.0,2.0,1.4,12.9,,90,104
106,Predrag Drobnjak,C,27,SEA,82,69,1984,8.9,21.7,.412,0.8,2.3,.353,8.1,19.3,.419,2.5,3.2,.791,3.1,5.7,8.8,2.4,1.3,1.0,1.8,4.9,21.2,,98,106
107,Chris Dudley,C,37,POR,3,0,11,0.0,4.9,.000,0.0,0.0,,0.0,4.9,.000,0.0,0.0,,9.8,0.0,9.8,0.0,0.0,0.0,0.0,14.6,0.0,,95,112
108,Tim Duncan*,PF,26,SAS,81,81,3181,12.0,23.3,.513,0.1,0.4,.273,11.9,23.0,.517,7.5,10.6,.710,4.3,13.1,17.5,5.3,0.9,4.0,4.2,3.9,31.6,,112,94
109,Mike Dunleavy,SF,22,GSW,82,3,1305,6.6,16.3,.403,2.0,5.9,.347,4.5,10.4,.434,3.0,3.9,.780,2.6,5.8,8.4,4.1,2.1,0.7,3.4,4.7,18.2,,103,109
110,Howard Eisley,PG,30,NYK,82,76,2243,6.2,14.8,.417,3.1,7.9,.389,3.1,6.9,.450,2.1,2.5,.848,0.6,3.8,4.4,10.5,1.7,0.2,3.5,5.2,17.5,,109,108
111,LaPhonso Ellis,PF,32,MIA,55,3,784,7.0,18.3,.382,1.9,7.5,.252,5.1,10.8,.471,3.5,4.6,.758,3.1,7.9,10.9,1.0,1.0,1.0,2.2,6.1,19.3,,97,103
112,Melvin Ely,C,24,LAC,52,7,802,6.0,12.2,.495,0.0,0.0,,6.0,12.2,.495,3.4,4.8,.703,4.2,7.2,11.4,1.0,0.7,2.1,3.3,6.2,15.5,,100,107
113,Evan Eschmeyer,C,27,DAL,17,3,135,2.7,7.3,.368,0.0,0.0,,2.7,7.3,.368,1.2,1.5,.750,3.8,7.3,11.1,2.3,3.8,2.7,2.3,13.4,6.5,,92,95
114,Reggie Evans,PF,22,SEA,67,60,1365,2.6,5.6,.471,0.0,0.0,,2.6,5.6,.471,3.2,6.2,.519,6.7,11.1,17.8,1.4,1.5,0.4,2.1,6.9,8.5,,109,102
115,Danny Ferry,SF,36,SAS,64,1,601,3.9,11.0,.355,1.9,5.3,.350,2.0,5.7,.359,0.9,1.2,.769,1.8,4.9,6.7,1.9,0.6,0.8,2.4,4.9,10.6,,90,104
116,Michael Finley,SF,29,DAL,69,69,2642,10.0,23.4,.425,2.3,6.3,.370,7.6,17.1,.445,3.9,4.5,.861,2.1,5.8,7.9,4.0,1.5,0.4,2.2,2.1,26.1,,107,104
117,Derek Fisher,PG,28,LAL,82,82,2829,6.2,14.2,.437,1.6,3.9,.401,4.7,10.3,.451,1.8,2.3,.800,0.7,3.7,4.4,5.5,1.7,0.3,1.7,3.6,15.8,,110,108
118,Marcus Fizer,PF,24,CHI,38,0,809,11.3,24.3,.465,0.1,0.4,.167,11.2,23.9,.469,5.6,8.5,.657,5.1,8.6,13.7,3.0,0.9,1.1,3.6,5.6,28.2,,101,106
119,Alton Ford,PF,21,PHO,11,0,31,5.1,15.2,.333,0.0,0.0,,5.1,15.2,.333,1.7,5.1,.333,0.0,10.1,10.1,1.7,0.0,0.0,3.4,11.8,11.8,,64,104
120,Joseph Forte,SG,21,SEA,17,0,86,6.3,22.2,.286,0.0,1.9,.000,6.3,20.3,.313,2.5,3.8,.667,2.5,4.4,7.0,7.0,2.5,0.0,6.3,3.8,15.2,,68,105
121,Danny Fortson,PF,26,GSW,17,0,223,4.6,12.3,.370,0.0,0.2,.000,4.6,12.1,.377,4.3,6.6,.655,6.4,10.3,16.7,2.7,2.1,0.0,3.4,9.8,13.5,,97,106
122,Greg Foster,C,34,TOR,29,9,539,4.7,12.1,.385,0.1,0.4,.250,4.6,11.7,.390,2.6,3.2,.813,3.0,7.1,10.1,1.3,0.1,0.9,3.0,8.1,12.0,,87,110
