,player,pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
0,Mahmoud Abdul-Rauf,PG,31,VAN,41,0,486,12.9,26.5,.488,0.4,1.5,.286,12.5,25.0,.500,2.4,3.1,.759,0.5,2.2,2.7,8.2,1.0,0.1,2.8,5.4,28.7,,104,111
1,Tariq Abdul-Wahad,SG,26,DEN,29,12,420,5.3,13.7,.387,0.5,1.2,.400,4.8,12.5,.386,2.6,4.4,.583,1.7,5.6,7.3,2.7,1.7,1.6,4.2,6.7,13.7,,79,106
2,Shareef Abdur-Rahim,SF,24,VAN,81,81,3241,9.8,20.7,.472,0.2,1.0,.188,9.6,19.6,.487,7.2,8.6,.834,2.8,9.0,11.9,4.0,1.5,1.2,3.7,3.8,26.9,,106,104
3,Cory Alexander,PG,27,ORL,26,0,227,4.1,12.7,.321,0.9,3.6,.250,3.2,9.1,.350,2.7,4.1,.667,0.0,5.7,5.7,8.2,3.6,0.0,5.7,6.6,11.8,,77,100
4,Courtney Alexander,PG,23,TOT,65,24,1382,8.9,21.4,.417,0.6,1.7,.370,8.3,19.7,.421,4.6,5.6,.820,1.6,3.8,5.3,2.3,1.7,0.2,2.8,5.2,23.1,,96,109
5,Ray Allen*,SG,25,MIL,82,82,3129,10.5,21.8,.480,3.4,7.8,.433,7.1,14.0,.506,5.8,6.5,.888,1.7,5.4,7.1,6.2,2.1,0.3,3.4,3.2,30.1,,119,106
6,Rafer Alston,PG,24,MIL,37,2,288,5.4,15.2,.357,1.4,5.4,.267,4.0,9.8,.407,1.6,2.4,.692,0.7,4.9,5.6,12.3,2.4,0.0,3.6,4.9,13.9,,98,106
7,John Amaechi,C,30,ORL,82,36,1710,7.1,17.8,.400,0.0,0.2,.000,7.1,17.6,.405,5.3,8.4,.631,2.3,5.8,8.1,2.2,0.8,0.9,3.7,5.3,19.6,,89,105
8,Derek Anderson,SG,26,SAS,82,82,2859,7.7,18.6,.416,1.9,4.7,.399,5.8,13.9,.422,6.4,7.5,.851,1.4,5.4,6.8,5.6,2.2,0.3,3.1,3.5,23.8,,109,99
9,Kenny Anderson,PG,30,BOS,33,28,849,5.4,13.9,.388,0.7,2.0,.333,4.7,11.8,.397,3.6,4.3,.831,1.0,3.5,4.5,8.2,2.7,0.1,3.2,3.8,15.0,,100,105
10,Nick Anderson,SG,33,SAC,21,0,169,4.2,17.2,.246,3.0,11.7,.256,1.2,5.4,.222,0.0,0.0,,0.9,6.6,7.5,3.9,3.0,1.2,2.1,3.9,11.4,,76,98
11,Shandon Anderson,SG,27,HOU,82,82,2396,5.8,13.1,.446,1.0,3.8,.271,4.8,9.3,.517,3.1,4.2,.734,1.6,5.8,7.4,4.2,1.8,0.9,2.9,4.5,15.7,,103,105
12,Greg Anthony,PG,33,POR,58,0,856,6.1,15.9,.383,4.1,10.0,.409,2.0,5.9,.340,1.4,2.2,.657,1.3,2.5,3.8,5.2,2.5,0.2,2.7,4.0,17.7,,105,104
13,Darrell Armstrong,PG,32,ORL,75,75,2767,7.7,18.7,.412,2.7,7.5,.355,5.0,11.2,.451,4.1,4.6,.884,1.8,4.6,6.4,9.8,2.5,0.2,3.7,2.9,22.1,,110,103
14,Chucky Atkins,PG,26,DET,81,75,2363,8.1,20.4,.399,2.6,7.3,.357,5.6,13.1,.423,1.9,2.8,.692,0.6,3.1,3.7,7.1,1.4,0.1,3.2,3.9,20.8,,99,106
15,Stacey Augmon,SG,32,POR,66,23,1182,5.8,12.1,.477,0.0,0.2,.000,5.8,11.9,.485,2.6,4.0,.655,2.7,4.5,7.2,4.5,2.2,1.0,2.2,4.8,14.2,,107,103
16,Isaac Austin,C,31,VAN,52,16,845,5.9,16.7,.356,0.4,1.5,.250,5.6,15.2,.366,1.7,2.5,.700,3.1,10.7,13.8,3.6,1.2,1.4,3.3,5.8,14.0,,81,103
17,William Avery,PG,21,MIN,55,0,463,6.2,16.3,.382,1.8,6.7,.271,4.4,9.6,.459,3.2,4.1,.778,0.6,2.7,3.3,8.5,1.5,0.5,5.1,5.4,17.4,,91,108
18,Dalibor Bagarić,C,20,CHI,35,0,259,3.5,13.5,.262,0.0,0.2,.000,3.5,13.3,.266,2.7,5.8,.464,4.6,7.1,11.6,2.1,1.9,3.3,4.4,9.1,9.8,,65,104
19,Vin Baker,PF,29,SEA,76,27,2129,8.5,20.2,.422,0.0,0.4,.063,8.5,19.8,.429,5.7,7.9,.723,4.4,6.2,10.6,2.2,0.9,1.8,3.9,6.5,22.8,,97,107
20,Erick Barkley,PG,22,POR,8,0,38,11.3,31.2,.364,4.3,11.3,.375,7.1,19.8,.357,0.0,0.0,,0.0,4.3,4.3,8.5,2.8,0.0,7.1,2.8,26.9,,82,103
21,Dana Barros,PG,33,DET,60,0,1079,8.6,19.3,.444,2.1,4.9,.419,6.5,14.4,.453,3.2,3.8,.850,0.3,4.1,4.4,5.2,1.4,0.1,2.8,3.0,22.4,,106,105
22,Brent Barry,SG,29,SEA,67,20,1778,5.8,11.8,.494,3.2,6.8,.476,2.6,5.1,.517,2.5,3.0,.816,1.0,5.2,6.2,6.6,2.4,0.4,2.5,3.7,17.4,,124,106
23,Jon Barry,SG,31,SAC,62,2,1010,5.2,12.8,.404,2.3,6.6,.348,2.9,6.2,.463,3.2,3.7,.877,0.8,3.9,4.7,6.5,1.4,0.3,2.7,3.3,15.9,,110,104
24,Tony Battie,C,24,BOS,40,25,845,6.6,12.3,.537,0.0,0.2,.000,6.6,12.1,.545,2.7,4.2,.638,4.5,9.8,14.3,1.0,1.7,3.7,2.3,7.7,16.0,,108,99
25,Raja Bell,SG,24,PHI,5,0,30,3.5,12.4,.286,1.8,5.3,.333,1.8,7.1,.250,0.0,0.0,,0.0,1.8,1.8,0.0,1.8,0.0,3.5,1.8,8.8,,59,104
26,Jonathan Bender,SF,20,IND,59,7,574,6.2,17.4,.355,1.0,3.8,.268,5.1,13.6,.379,4.7,6.4,.735,1.3,5.6,6.9,3.0,0.7,2.6,3.9,6.8,18.1,,85,104
27,Corey Benjamin,PG,22,CHI,65,5,857,7.2,18.9,.381,1.3,5.1,.259,5.9,13.9,.425,3.5,5.2,.675,2.4,3.9,6.3,4.3,1.8,1.0,4.0,8.0,19.3,,88,109
28,David Benoit,SF,32,UTA,49,2,446,8.5,17.6,.483,0.6,1.6,.385,7.9,16.1,.493,3.7,4.7,.795,2.4,7.3,9.7,2.6,0.7,0.7,3.4,9.0,21.3,,102,105
29,Travis Best,PG,28,IND,77,21,2457,7.6,17.2,.440,0.8,2.1,.381,6.8,15.1,.449,4.1,4.9,.827,0.8,4.0,4.9,10.3,2.4,0.2,2.8,5.4,20.1,,110,104
30,Mike Bibby,PG,22,VAN,82,82,3190,8.6,19.0,.454,1.8,4.7,.379,6.8,14.3,.478,2.3,3.1,.761,0.8,4.2,5.0,11.2,1.8,0.2,4.1,2.4,21.4,,104,108
31,Chauncey Billups,SG,24,MIN,77,33,1790,7.2,17.1,.422,2.1,5.7,.376,5.1,11.5,.445,4.2,5.0,.842,0.9,3.7,4.6,7.6,1.5,0.3,3.2,5.2,20.8,,107,107
32,Mookie Blaylock,PG,33,GSW,69,59,2352,6.9,17.4,.396,1.6,4.9,.324,5.3,12.5,.424,1.1,1.6,.697,1.5,4.4,5.9,10.0,3.5,0.4,2.8,2.9,16.5,,102,106
33,Corie Blount,PF,32,TOT,68,6,1305,5.1,11.5,.442,0.1,0.3,.250,5.0,11.2,.448,2.0,3.3,.614,7.1,8.6,15.7,2.3,1.6,0.9,2.9,6.5,12.3,,99,104
34,Mark Blount,C,25,BOS,64,50,1098,4.8,9.4,.505,0.0,0.0,,4.8,9.4,.505,2.2,3.1,.697,4.6,6.3,10.9,1.5,1.8,3.6,2.9,8.6,11.7,,101,101
35,Muggsy Bogues,PG,36,TOR,3,0,34,0.0,3.1,.000,0.0,1.6,.000,0.0,1.6,.000,0.0,0.0,,0.0,4.7,4.7,7.8,3.1,0.0,6.2,4.7,0.0,,36,103
36,Etdrick Bohannon,PF,27,CLE,6,0,19,5.5,11.1,.500,0.0,0.0,,5.5,11.1,.500,11.1,11.1,1.000,8.3,11.1,19.4,0.0,0.0,5.5,2.8,11.1,22.2,,136,101
37,Calvin Booth,C,24,TOT,55,29,933,6.6,14.0,.476,0.0,0.0,,6.6,14.0,.476,2.9,4.3,.679,4.3,9.4,13.6,2.3,1.6,6.2,2.9,8.1,16.2,,101,99
38,Cal Bowdler,SF,23,ATL,44,0,375,7.4,15.9,.465,0.1,0.7,.200,7.2,15.2,.477,4.6,5.6,.825,4.2,6.5,10.7,0.6,1.4,2.9,1.5,6.3,19.5,,112,103
39,Bruce Bowen,SF,29,MIA,82,72,2685,4.3,11.9,.363,2.1,6.3,.336,2.2,5.6,.394,2.0,3.3,.609,0.9,4.1,5.0,2.7,1.7,1.1,1.5,5.5,12.8,,97,100
40,Ryan Bowen,SF,25,DEN,57,0,696,6.0,10.7,.556,0.3,0.8,.364,5.7,9.9,.571,2.0,3.3,.614,4.6,3.8,8.4,2.2,2.8,0.9,1.8,7.1,14.2,,117,106
41,Ira Bowman,PG,27,ATL,3,0,19,0.0,5.5,.000,0.0,0.0,,0.0,5.5,.000,0.0,0.0,,2.7,2.7,5.5,19.2,0.0,0.0,2.7,0.0,0.0,,89,112
42,Earl Boykins,PG,24,LAC,10,0,149,9.0,22.6,.397,0.4,2.9,.125,8.6,19.8,.436,5.0,6.1,.824,1.4,2.5,4.0,11.5,1.8,0.0,3.2,3.2,23.4,,104,108
43,Shawn Bradley,C,28,DAL,82,35,2001,5.6,11.5,.490,0.0,0.2,.167,5.6,11.3,.494,3.6,4.6,.787,4.1,11.5,15.6,1.0,0.9,5.9,2.3,6.6,14.9,,109,96
44,Elton Brand,PF,21,CHI,74,74,2906,10.7,22.5,.476,0.0,0.0,.000,10.7,22.4,.477,6.2,8.7,.708,5.3,8.5,13.8,4.4,1.3,2.2,4.0,4.5,27.6,,103,106
45,Terrell Brandon,PG,30,MIN,78,78,2821,9.5,21.0,.451,0.6,1.7,.363,8.9,19.3,.458,3.6,4.2,.871,1.1,4.4,5.5,10.8,3.0,0.4,2.9,2.6,23.2,,109,104
46,Chucky Brown,SF,32,TOT,26,2,339,6.2,14.6,.421,0.0,0.5,.000,6.2,14.2,.435,3.4,5.2,.647,1.2,7.1,8.3,1.7,1.4,1.1,1.2,5.7,15.7,,99,106
47,Dee Brown,PG,32,ORL,7,0,155,5.3,14.6,.364,4.0,10.6,.375,1.3,4.0,.333,1.3,1.7,.800,0.0,3.7,3.7,4.0,1.3,0.0,2.3,3.3,16.0,,102,106
48,P.J. Brown,C,31,CHH,80,79,2811,4.8,10.7,.444,0.0,0.1,.000,4.8,10.6,.447,3.4,4.0,.852,4.9,9.3,14.2,2.4,1.5,1.8,2.1,5.0,12.9,,109,98
49,Randy Brown,PG,32,BOS,54,35,1238,4.2,9.9,.422,0.0,0.1,.000,4.2,9.8,.427,1.0,1.7,.575,1.0,3.2,4.1,6.4,2.6,0.4,2.3,5.5,9.3,,94,105
50,Rick Brunson,PG,28,TOT,22,0,208,4.6,13.7,.333,0.5,3.6,.143,4.1,10.2,.400,2.0,3.8,.533,1.3,4.1,5.3,7.9,2.0,0.3,4.3,5.3,11.7,,80,104
51,Kobe Bryant*,SG,22,LAL,68,68,2783,13.2,28.4,.464,1.1,3.8,.305,12.0,24.6,.489,8.9,10.5,.853,2.0,5.5,7.5,6.4,2.1,0.8,4.1,4.2,36.4,,112,105
52,Mark Bryant,PF,35,DAL,18,1,101,4.1,10.2,.400,0.0,0.0,,4.1,10.2,.400,1.5,2.5,.600,2.0,8.7,10.7,1.5,0.5,1.0,2.5,14.8,9.7,,83,103
53,Greg Buckner,SG,24,DAL,37,9,820,5.3,12.1,.438,0.1,0.4,.286,5.1,11.6,.443,3.7,5.1,.728,3.8,6.1,9.9,3.1,2.1,0.6,1.7,7.4,14.4,,110,103
54,Jud Buechler,SF,32,DET,57,3,737,5.2,11.3,.463,2.2,5.3,.416,3.0,6.0,.506,0.6,0.8,.750,1.4,5.1,6.5,2.7,1.4,0.7,1.7,5.7,13.3,,110,104
55,Rodney Buford,SF,23,PHI,47,0,573,9.6,22.3,.432,1.5,3.5,.421,8.1,18.8,.433,2.2,2.7,.828,1.5,5.4,6.8,1.6,1.6,0.6,2.7,6.3,22.9,,96,101
56,Matt Bullard,PF,33,HOU,61,5,1000,6.8,16.2,.423,4.6,11.3,.404,2.3,4.9,.467,0.5,0.7,.714,1.2,5.7,6.9,2.2,0.5,0.5,0.6,4.0,18.8,,120,108
57,Scott Burrell,SF,30,CHH,4,0,41,9.2,19.6,.467,2.6,7.9,.333,6.5,11.8,.556,1.3,5.2,.250,1.3,2.6,3.9,1.3,3.9,0.0,0.0,10.5,22.3,,107,99
58,Jason Caffey,PF,27,MIL,70,33,1460,6.4,13.1,.488,0.0,0.0,,6.4,13.1,.488,5.1,7.5,.673,4.8,7.8,12.6,1.9,1.4,0.9,2.7,6.6,17.8,,109,105
59,Marcus Camby,C,26,NYK,63,63,2127,7.9,15.1,.524,0.0,0.2,.125,7.9,14.9,.530,3.9,5.9,.667,5.1,13.7,18.8,1.4,1.7,3.5,1.6,5.3,19.8,,116,91
