,player,pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
27,J.J. Barea,PG,25,DAL,78,18,1546,7.8,17.7,.440,1.9,5.3,.357,5.9,12.4,.476,2.6,3.0,.844,0.6,4.3,4.9,8.7,1.2,0.2,3.4,4.0,20.0,,104,110
28,Andrea Bargnani,PF,24,TOR,80,80,2799,9.9,21.1,.470,2.2,6.0,.372,7.7,15.1,.509,3.3,4.3,.774,1.9,7.2,9.1,1.7,0.5,2.0,2.2,4.0,25.4,,108,113
29,Matt Barnes,SF,29,ORL,81,58,2097,6.7,13.9,.487,1.6,5.1,.319,5.1,8.7,.586,2.7,3.6,.740,2.6,8.4,11.1,3.3,1.5,0.7,2.8,4.6,17.8,,111,103
30,Earl Barron,C,28,NYK,7,6,232,6.6,15.0,.441,0.0,0.0,,6.6,15.0,.441,4.8,6.4,.759,6.8,10.1,17.0,1.8,0.9,0.9,2.4,5.3,18.1,,110,110
31,Brandon Bass,PF,24,ORL,50,3,648,9.6,18.8,.511,0.0,0.0,,9.6,18.8,.511,4.2,5.1,.825,4.3,5.9,10.2,1.5,1.0,2.2,2.5,5.6,23.3,,112,104
32,Tony Battie,C,33,NJN,15,0,134,5.5,15.7,.350,0.4,1.6,.250,5.1,14.1,.361,2.7,3.9,.700,1.6,7.5,9.0,1.2,1.6,0.8,1.2,7.5,14.1,,88,110
33,Shane Battier,SG,31,HOU,67,62,2168,4.2,10.5,.398,2.4,6.6,.362,1.8,4.0,.458,1.8,2.5,.726,1.7,5.6,7.3,3.9,1.2,1.8,1.5,3.3,12.6,,114,108
34,Nicolas Batum,SF,21,POR,37,25,918,8.3,16.0,.519,3.2,7.9,.409,5.1,8.1,.625,2.6,3.0,.843,1.9,6.5,8.4,2.6,1.4,1.5,1.6,4.9,22.3,,127,107
35,Jerryd Bayless,SG,21,POR,74,11,1304,8.4,20.3,.414,1.2,3.9,.315,7.2,16.4,.437,8.4,10.2,.831,0.8,4.3,5.0,7.2,1.1,0.2,3.9,6.4,26.4,,108,110
36,Michael Beasley,PF,21,MIA,78,78,2328,10.8,23.9,.450,0.6,2.3,.275,10.1,21.6,.469,4.4,5.5,.800,2.8,8.6,11.5,2.3,1.8,1.1,3.0,5.1,26.6,,101,103
